log_file,official_result,practice_run_no,case_code,ended_at_utc,N,T_s,T_per_N_s,travel_s,detect_s,switch_s,clear_ok_s,clear_miss_s,n_measure,n_clear,clear_miss,pending_at_exit,exit_accepted,completed,q3_path_profile,backbone_scan_s,localization_s,clear_detour_s,nonmovement_s,scan_phase_end_s,service_phase_s,measures_before_first_clear,unique_scan_points,service_path_m,max_service_leg_m,success_order_path_m,posthoc_oracle_path_m,success_order_gap_m,local_probe_extra_m
p3-20260912-134753.json,practice-p3-6255007534921331410-V4FD-TP4T-J7HQ-CHMF.result.json,6255007534921331410,V4FD-TP4T-J7HQ-CHMF,2026-09-12T05:47:53.026Z,16,4197.10054,262.31878375,3627.100538795413,379.9999998214395,74.0,80.00000030924184,36.00000107390716,76,28,12,0,True,True,batch,1380.0,400.1117421785606,1846.9887966168512,570.0000012045884,1780.0,2417.1005400000004,67,7,11235.502693977058,967.6485894206617,10058.375363421475,9928.145540894307,130.22982252716793,1177.1273305555824
p3-20260912-134831.json,practice-p3-7505885784594597947-QUQP-WYDR-GZYH-T9CY.result.json,7505885784594597947,QUQP-WYDR-GZYH-T9CY,2026-09-12T05:48:30.592Z,15,4437.198639,295.8132426,3780.198638617442,424.99999919640373,82.0,75.00000018898702,75.00000099716664,85,40,25,0,True,True,batch,1380.0,578.360783803597,1821.8378548138458,657.0000003825576,1872.0,2565.198639,73,8,11720.993193087215,1039.926012309684,9927.2358042461,9465.171381602846,462.06442264325415,1793.7573888411152
p3-20260912-134904.json,practice-p3-6631229122277896003-CAD2-EZHU-EPTR-QDC4.result.json,6631229122277896003,CAD2-EZHU-EPTR-QDC4,2026-09-12T05:49:03.732Z,13,4105.15679,315.7812915384615,3406.156787778258,515.000001676241,101.0,64.99999965357301,18.00000089192796,103,19,6,0,True,True,batch,1380.0,445.3563803237589,1580.800407454499,699.0000022217419,2088.094993,2017.0617969999998,97,10,9490.308978050307,1002.8402645983049,8788.015648734749,8381.370914419345,406.6447343154032,702.2933293155584
p3-20260912-134938.json,practice-p3-5342899640336026695-QAYS-JZD2-CNFB-YR24.result.json,5342899640336026695,QAYS-JZD2-CNFB-YR24,2026-09-12T05:49:38.101Z,16,4145.037359,259.0648349375,3554.0373570972356,425.0000000544323,83.0,80.00000184833308,3.0,85,17,1,0,True,True,batch,1380.0,384.49128494556805,1789.5460721516665,591.0000019027652,1840.0,2305.037359,77,7,10870.186785486172,1032.4539978843445,9357.295760410512,9168.208358397209,189.0874020133033,1512.8910250756599
p3-20260912-135013.json,practice-p3-5713366461066915125-C43D-C8ZM-ZKK5-DUCB.result.json,5713366461066915125,C43D-C8ZM-ZKK5-DUCB,2026-09-12T05:50:12.883Z,16,4972.514558,310.782159875,4251.514556823171,440.00000044536796,84.0,79.99999984753411,117.00000088392567,88,55,39,0,True,True,batch,1380.0,554.7312265546313,2316.783330268541,721.0000011768279,1840.0,3132.514558,77,7,14357.572784115864,1215.909581100577,10523.611809851538,9941.157020711986,582.4547891395523,3833.960974264326
p3-20260912-135046.json,practice-p3-7766361583652572546-5WH3-ABDD-ZF4U-T4TP.result.json,7766361583652572546,5WH3-ABDD-ZF4U-T4TP,2026-09-12T05:50:45.594Z,12,3958.135091,329.8445909166667,3277.1350922633355,515.0000004408876,100.0,59.99999829577739,6.0,103,14,2,0,True,True,batch,1380.0,382.88856955911206,1514.246522704223,680.999998736665,2016.0,1942.135091,97,8,9205.675461316676,1338.1205762110499,8649.11684365842,8301.048635368736,348.06820828968375,556.5586176582565
p3-20260912-135118.json,practice-p3-8371507361088452748-F3M8-5SMP-NMQD-KS57.result.json,8371507361088452748,F3M8-5SMP-NMQD-KS57,2026-09-12T05:51:17.811Z,13,4025.029092,309.6176224615385,3393.029092580422,469.99999914368965,91.0,65.00000027588823,6.0,94,15,2,0,True,True,batch,1380.0,532.9880608563101,1480.0410317241124,631.9999994195778,1882.0,2143.029092,84,7,10065.14546290211,1190.129998080104,9103.221659683759,8663.398867054279,439.8227926294803,961.9238032183512
p3-20260912-135150.json,practice-p3-1498152871593854124-GT4P-88NM-WZH6-578P.result.json,1498152871593854124,GT4P-88NM-WZH6-578P,2026-09-12T05:51:49.505Z,11,3929.607412,357.23703745454543,3255.607412022734,504.9999997074141,99.0,55.00000004036994,15.000000229481325,101,16,5,0,True,True,batch,1380.0,386.7454322925856,1488.861979730149,673.9999999772654,1998.0,1931.6074119999998,94,8,9098.037060113673,1187.5589384596217,7907.232655859795,7752.365038033347,154.8676178264477,1190.8044042538777
p3-20260912-135224.json,practice-p3-3591574200742601290-2E84-UNY2-8QVH-DU7S.result.json,3591574200742601290,2E84-UNY2-8QVH-DU7S,2026-09-12T05:52:24.123Z,16,4306.973073,269.1858170625,3733.9730739818942,409.99999933770516,80.0,79.99999968040036,3.0,82,17,1,0,True,True,batch,1380.0,394.95925666229493,1959.0138173195996,572.9999990181054,1994.545513,2312.42756,77,10,10997.137804248876,1116.022655904395,10465.026990803228,9637.883435072437,827.1435557307905,532.1108134456481
p3-20260912-135256.json,practice-p3-5715288823369130418-VPED-HDEJ-9243-RW36.result.json,5715288823369130418,VPED-HDEJ-9243-RW36,2026-09-12T05:52:55.511Z,11,4220.193474,383.65395218181817,3553.1934737272313,509.9999997302647,99.0,55.00000054250383,3.0,102,12,1,0,True,True,batch,1380.0,501.9620602697356,1671.2314134574956,667.0000002727684,1930.0,2290.1934739999997,92,7,10865.967368636157,1487.7858020573053,10254.123209212119,9259.870642578506,994.2525666336132,611.8441594240376
